date,Country_code,Country,WHO_region,new_cases,Cumulative_cases,New_deaths,Cumulative_deaths,I
2021-05-02,US,United States of America,AMRO,338407.0,32049828,4493.0,575577,1
2021-05-09,US,United States of America,AMRO,292324.0,32342152,4451.0,580028,1
2021-05-16,US,United States of America,AMRO,233350.0,32575502,3973.0,584001,1
2021-05-23,US,United States of America,AMRO,181609.0,32757111,3624.0,587625,1
2021-05-30,US,United States of America,AMRO,147811.0,32904922,3534.0,591159,1
2021-06-06,US,United States of America,AMRO,99112.0,33004034,2675.0,593834,1
2021-06-13,US,United States of America,AMRO,99565.0,33103599,2624.0,596458,1
2021-06-20,US,United States of America,AMRO,80627.0,33184226,1762.0,598220,1
2021-06-27,US,United States of America,AMRO,87637.0,33271863,2101.0,600321,1
2021-07-04,US,United States of America,AMRO,97037.0,33368900,1717.0,602038,1
2021-07-11,US,United States of America,AMRO,286510.0,33655410,1509.0,603547,1
2021-07-18,US,United States of America,AMRO,222579.0,33877989,1931.0,605478,1
2021-07-25,US,United States of America,AMRO,359027.0,34237016,2084.0,607562,1
2021-08-01,US,United States of America,AMRO,547086.0,34784102,2927.0,610489,1
2021-08-08,US,United States of America,AMRO,743056.0,35527158,4453.0,614942,1
2021-08-15,US,United States of America,AMRO,886464.0,36413622,5637.0,620579,1
2021-08-22,US,United States of America,AMRO,1019966.0,37433588,8055.0,628634,1
2021-08-29,US,United States of America,AMRO,1094890.0,38528478,10183.0,638817,1
2021-09-05,US,United States of America,AMRO,1144251.0,39672729,11709.0,650526,1
2021-09-12,US,United States of America,AMRO,1022570.0,40695299,12085.0,662611,1
2021-09-19,US,United States of America,AMRO,1037454.0,41732753,13590.0,676201,1
2021-09-26,US,United States of America,AMRO,852294.0,42585047,13384.0,689585,1
2021-10-03,US,United States of America,AMRO,755688.0,43340735,12992.0,702577,1
2021-10-10,US,United States of America,AMRO,681984.0,44022719,11684.0,714261,1
2021-10-17,US,United States of America,AMRO,582237.0,44604956,10462.0,724723,1
2021-10-24,US,United States of America,AMRO,508543.0,45113499,11091.0,735814,1
2021-10-31,US,United States of America,AMRO,526186.0,45639685,8915.0,744729,1
2021-11-07,US,United States of America,AMRO,510211.0,46149896,7407.0,752136,1
2021-11-14,US,United States of America,AMRO,557180.0,46707076,7529.0,759665,1
2021-11-21,US,United States of America,AMRO,676876.0,47383952,10276.0,769941,1
2021-11-28,US,United States of America,AMRO,592394.0,47976346,5690.0,775631,1
2021-12-05,US,United States of America,AMRO,751017.0,48727363,8304.0,783935,1
2021-12-12,US,United States of America,AMRO,834969.0,49562332,8586.0,792521,1
2021-12-19,US,United States of America,AMRO,899109.0,50461441,9065.0,801586,1
2021-12-26,US,United States of America,AMRO,1417419.0,51878860,11001.0,812587,1
2022-01-02,US,United States of America,AMRO,2712038.0,54590898,9146.0,821733,1
2022-01-09,US,United States of America,AMRO,4682897.0,59273795,11716.0,833449,1
2022-01-16,US,United States of America,AMRO,5650933.0,64924728,14380.0,847829,1
2022-01-23,US,United States of America,AMRO,5042888.0,69967616,16308.0,864137,1
2022-01-30,US,United States of America,AMRO,3789262.0,73756878,18403.0,882540,1
2022-02-06,US,United States of America,AMRO,2188710.0,75945588,18654.0,901194,1
2022-02-13,US,United States of America,AMRO,1222112.0,77167700,17550.0,918744,1
2022-02-20,US,United States of America,AMRO,708156.0,77875856,15372.0,934116,1
2022-02-27,US,United States of America,AMRO,458272.0,78334128,13046.0,947162,1
2022-03-06,US,United States of America,AMRO,332509.0,78666637,9678.0,956840,1
2022-03-13,US,United States of America,AMRO,234332.0,78900969,8606.0,965446,1
2022-03-20,US,United States of America,AMRO,208740.0,79109709,3245.0,968691,1
2022-03-27,US,United States of America,AMRO,193469.0,79303178,4991.0,973682,1
2022-04-03,US,United States of America,AMRO,194464.0,79497642,4172.0,977854,1
2022-04-10,US,United States of America,AMRO,201192.0,79698834,3467.0,981321,1
2022-04-17,US,United States of America,AMRO,247939.0,79946773,3123.0,984444,1
2022-04-24,US,United States of America,AMRO,300721.0,80247494,2443.0,986887,1
2022-05-01,US,United States of America,AMRO,378549.0,80626043,2242.0,989129,1
2022-05-08,US,United States of America,AMRO,465658.0,81091701,2641.0,991770,1
2022-05-15,US,United States of America,AMRO,604955.0,81696656,1966.0,993736,1
2022-05-22,US,United States of America,AMRO,734495.0,82431151,2081.0,995817,1
2022-05-29,US,United States of America,AMRO,740720.0,83171871,2629.0,998446,1
2022-06-05,US,United States of America,AMRO,675627.0,83847498,1979.0,1000425,1
2022-06-12,US,United States of America,AMRO,741044.0,84588542,2284.0,1002709,1
2022-06-19,US,United States of America,AMRO,672256.0,85260798,2202.0,1004911,1
2022-06-26,US,United States of America,AMRO,709637.0,85970435,2501.0,1007412,1
2022-07-03,US,United States of America,AMRO,773772.0,86744207,2642.0,1010054,1
2022-07-10,US,United States of America,AMRO,743769.0,87487976,2454.0,1012508,1
2022-07-17,US,United States of America,AMRO,888229.0,88376205,2785.0,1015293,1
2022-07-24,US,United States of America,AMRO,908695.0,89284900,3187.0,1018480,1
2022-07-31,US,United States of America,AMRO,947983.0,90232883,3113.0,1021593,1
2022-08-07,US,United States of America,AMRO,788051.0,91020934,3261.0,1024854,1
2022-08-14,US,United States of America,AMRO,701618.0,91722552,3442.0,1028296,1
2022-08-21,US,United States of America,AMRO,644925.0,92367477,3231.0,1031527,1
2022-08-28,US,United States of America,AMRO,610329.0,92977806,3221.0,1034748,1
2022-09-04,US,United States of America,AMRO,580363.0,93558169,3090.0,1037838,1
2022-09-11,US,United States of America,AMRO,449509.0,94007678,2625.0,1040463,1
2022-09-18,US,United States of America,AMRO,406901.0,94414579,2899.0,1043362,1
2022-09-25,US,United States of America,AMRO,368725.0,94783304,2705.0,1046067,1
2022-10-02,US,United States of America,AMRO,321234.0,95104538,2982.0,1049049,1
2022-10-09,US,United States of America,AMRO,280584.0,95385122,2560.0,1051609,1
2022-10-16,US,United States of America,AMRO,251280.0,95636402,2274.0,1053883,1
2022-10-23,US,United States of America,AMRO,283734.0,95920136,2955.0,1056838,1
2022-10-30,US,United States of America,AMRO,255156.0,96175292,3081.0,1059919,1
2022-11-06,US,United States of America,AMRO,267304.0,96442596,2463.0,1062382,1
2022-11-13,US,United States of America,AMRO,282897.0,96725493,2290.0,1064672,1
2022-11-20,US,United States of America,AMRO,274984.0,97000477,2202.0,1066874,1
2022-11-27,US,United States of America,AMRO,300171.0,97300648,2619.0,1069493,1
2022-12-04,US,United States of America,AMRO,302599.0,97603247,1763.0,1071256,1
2022-12-11,US,United States of America,AMRO,462223.0,98065470,3035.0,1074291,1
2022-12-18,US,United States of America,AMRO,446014.0,98511484,2652.0,1076943,1
2022-12-25,US,United States of America,AMRO,508009.0,99019493,3033.0,1079976,1
2023-01-01,US,United States of America,AMRO,392203.0,99411696,2480.0,1082456,1
2023-01-08,US,United States of America,AMRO,471714.0,99883410,2764.0,1085220,1
2023-01-15,US,United States of America,AMRO,448092.0,100331502,4407.0,1089627,1
2023-01-22,US,United States of America,AMRO,308025.0,100639527,3664.0,1093291,1
2023-01-29,US,United States of America,AMRO,294867.0,100934394,3743.0,1097034,1
2023-02-05,US,United States of America,AMRO,285402.0,101219796,3452.0,1100486,1
2023-02-12,US,United States of America,AMRO,278228.0,101498024,3440.0,1103926,1
2023-02-19,US,United States of America,AMRO,254372.0,101752396,2857.0,1106783,1
2023-02-26,US,United States of America,AMRO,267168.0,102019564,2362.0,1109145,1
2023-03-05,US,United States of America,AMRO,227828.0,102247392,2197.0,1111342,1
2023-03-12,US,United States of America,AMRO,170593.0,102417985,1887.0,1113229,1
2023-03-19,US,United States of America,AMRO,126613.0,102544598,1741.0,1114970,1
2023-03-26,US,United States of America,AMRO,152968.0,102697566,2084.0,1117054,1
2023-04-02,US,United States of America,AMRO,176358.0,102873924,1746.0,1118800,1
2023-04-09,US,United States of America,AMRO,103472.0,102977396,1729.0,1120529,1
2023-04-16,US,United States of America,AMRO,104057.0,103081453,1290.0,1121819,1
2023-04-23,US,United States of America,AMRO,98467.0,103179920,1198.0,1123017,1
2023-04-30,US,United States of America,AMRO,86484.0,103266404,1046.0,1124063,1
2023-05-07,US,United States of America,AMRO,77165.0,103343569,1146.0,1125209,1
2023-05-14,US,United States of America,AMRO,93260.0,103436829,1943.0,1127152,1
2023-05-21,US,United States of America,AMRO,,103436829,761.0,1127913,0
2023-05-28,US,United States of America,AMRO,,103436829,743.0,1128656,0
2023-06-04,US,United States of America,AMRO,,103436829,697.0,1129353,0
2023-06-11,US,United States of America,AMRO,,103436829,633.0,1129986,0
2023-06-18,US,United States of America,AMRO,,103436829,613.0,1130599,0
2023-06-25,US,United States of America,AMRO,,103436829,584.0,1131183,0
2023-07-02,US,United States of America,AMRO,,103436829,543.0,1131726,0
2023-07-09,US,United States of America,AMRO,,103436829,494.0,1132220,0
2023-07-16,US,United States of America,AMRO,,103436829,510.0,1132730,0
2023-07-23,US,United States of America,AMRO,,103436829,540.0,1133270,0
2023-07-30,US,United States of America,AMRO,,103436829,554.0,1133824,0
2023-08-06,US,United States of America,AMRO,,103436829,673.0,1134497,0
2023-08-13,US,United States of America,AMRO,,103436829,754.0,1135251,0
2023-08-20,US,United States of America,AMRO,,103436829,925.0,1136176,0
2023-08-27,US,United States of America,AMRO,,103436829,1068.0,1137244,0
2023-09-03,US,United States of America,AMRO,,103436829,1188.0,1138432,0
2023-09-10,US,United States of America,AMRO,,103436829,1317.0,1139749,0
2023-09-17,US,United States of America,AMRO,,103436829,1412.0,1141161,0
2023-09-24,US,United States of America,AMRO,,103436829,1419.0,1142580,0
2023-10-01,US,United States of America,AMRO,,103436829,1459.0,1144039,0
2023-10-08,US,United States of America,AMRO,,103436829,1402.0,1145441,0
2023-10-15,US,United States of America,AMRO,,103436829,1317.0,1146758,0
2023-10-22,US,United States of America,AMRO,,103436829,1394.0,1148152,0
2023-10-29,US,United States of America,AMRO,,103436829,1292.0,1149444,0
2023-11-05,US,United States of America,AMRO,,103436829,1247.0,1150691,0
2023-11-12,US,United States of America,AMRO,,103436829,1395.0,1152086,0
2023-11-19,US,United States of America,AMRO,,103436829,1431.0,1153517,0
2023-11-26,US,United States of America,AMRO,,103436829,1428.0,1154945,0
2023-12-03,US,United States of America,AMRO,,103436829,1735.0,1156680,0
2023-12-10,US,United States of America,AMRO,,103436829,1794.0,1158474,0
2023-12-17,US,United States of America,AMRO,,103436829,1851.0,1160325,0
2023-12-24,US,United States of America,AMRO,,103436829,1938.0,1162263,0
2023-12-31,US,United States of America,AMRO,,103436829,2234.0,1164497,0
2024-01-07,US,United States of America,AMRO,,103436829,2500.0,1166997,0
2024-01-14,US,United States of America,AMRO,,103436829,2593.0,1169590,0
2024-01-21,US,United States of America,AMRO,,103436829,2370.0,1171960,0
2024-01-28,US,United States of America,AMRO,,103436829,2139.0,1174099,0
2024-02-04,US,United States of America,AMRO,,103436829,1748.0,1175847,0
2024-02-11,US,United States of America,AMRO,,103436829,1628.0,1177475,0
2024-02-18,US,United States of America,AMRO,,103436829,1393.0,1178868,0
2024-02-25,US,United States of America,AMRO,,103436829,1329.0,1180197,0
2024-03-03,US,United States of America,AMRO,,103436829,1276.0,1181473,0
2024-03-10,US,United States of America,AMRO,,103436829,1105.0,1182578,0
2024-03-17,US,United States of America,AMRO,,103436829,1047.0,1183625,0
2024-03-24,US,United States of America,AMRO,,103436829,853.0,1184478,0
2024-03-31,US,United States of America,AMRO,,103436829,743.0,1185221,0
2024-04-07,US,United States of America,AMRO,,103436829,635.0,1185856,0
2024-04-14,US,United States of America,AMRO,,103436829,575.0,1186431,0
2024-04-21,US,United States of America,AMRO,,103436829,501.0,1186932,0
2024-04-28,US,United States of America,AMRO,,103436829,430.0,1187362,0
2024-05-05,US,United States of America,AMRO,,103436829,427.0,1187789,0
2024-05-12,US,United States of America,AMRO,,103436829,334.0,1188123,0
2024-05-19,US,United States of America,AMRO,,103436829,340.0,1188463,0
2024-05-26,US,United States of America,AMRO,,103436829,344.0,1188807,0
2024-06-02,US,United States of America,AMRO,,103436829,325.0,1189132,0
2024-06-09,US,United States of America,AMRO,,103436829,314.0,1189446,0
2024-06-16,US,United States of America,AMRO,,103436829,366.0,1189812,0
2024-06-23,US,United States of America,AMRO,,103436829,436.0,1190248,0
2024-06-30,US,United States of America,AMRO,,103436829,444.0,1190692,0
2024-07-07,US,United States of America,AMRO,,103436829,533.0,1191225,0
2024-07-14,US,United States of America,AMRO,,103436829,595.0,1191820,0
2024-07-21,US,United States of America,AMRO,,103436829,736.0,1192556,0
2024-07-28,US,United States of America,AMRO,,103436829,862.0,1193418,0
2024-08-04,US,United States of America,AMRO,,103436829,989.0,1194407,0
2024-08-11,US,United States of America,AMRO,,103436829,1070.0,1195477,0
2024-08-18,US,United States of America,AMRO,,103436829,1083.0,1196560,0
2024-08-25,US,United States of America,AMRO,,103436829,1258.0,1197818,0
2024-09-01,US,United States of America,AMRO,,103436829,1359.0,1199177,0
2024-09-08,US,United States of America,AMRO,,103436829,1231.0,1200408,0
2024-09-15,US,United States of America,AMRO,,103436829,1244.0,1201652,0
2024-09-22,US,United States of America,AMRO,,103436829,1103.0,1202755,0
2024-09-29,US,United States of America,AMRO,,103436829,1035.0,1203790,0
2024-10-06,US,United States of America,AMRO,,103436829,977.0,1204767,0
2024-10-13,US,United States of America,AMRO,,103436829,808.0,1205575,0
2024-10-20,US,United States of America,AMRO,,103436829,739.0,1206314,0
2024-10-27,US,United States of America,AMRO,,103436829,646.0,1206960,0
2024-11-03,US,United States of America,AMRO,,103436829,603.0,1207563,0
2024-11-10,US,United States of America,AMRO,,103436829,560.0,1208123,0
2024-11-17,US,United States of America,AMRO,,103436829,531.0,1208654,0
2024-11-24,US,United States of America,AMRO,,103436829,474.0,1209128,0
2024-12-01,US,United States of America,AMRO,,103436829,501.0,1209629,0
2024-12-08,US,United States of America,AMRO,,103436829,506.0,1210135,0
2024-12-15,US,United States of America,AMRO,,103436829,571.0,1210706,0
2024-12-22,US,United States of America,AMRO,,103436829,597.0,1211303,0
2024-12-29,US,United States of America,AMRO,,103436829,679.0,1211982,0
2025-01-05,US,United States of America,AMRO,,103436829,910.0,1212892,0
2025-01-12,US,United States of America,AMRO,,103436829,1049.0,1213941,0
2025-01-19,US,United States of America,AMRO,,103436829,1002.0,1214943,0
2025-01-26,US,United States of America,AMRO,,103436829,968.0,1215911,0
2025-02-02,US,United States of America,AMRO,,103436829,940.0,1216851,0
2025-02-09,US,United States of America,AMRO,,103436829,837.0,1217688,0
2025-02-16,US,United States of America,AMRO,,103436829,754.0,1218442,0
2025-02-23,US,United States of America,AMRO,,103436829,742.0,1219184,0
2025-03-02,US,United States of America,AMRO,,103436829,704.0,1219888,0
2025-03-09,US,United States of America,AMRO,,103436829,618.0,1220506,0
2025-03-16,US,United States of America,AMRO,,103436829,505.0,1221011,0
2025-03-23,US,United States of America,AMRO,,103436829,474.0,1221485,0
2025-03-30,US,United States of America,AMRO,,103436829,488.0,1221973,0
2025-04-06,US,United States of America,AMRO,,103436829,421.0,1222394,0
2025-04-13,US,United States of America,AMRO,,103436829,371.0,1222765,0
2025-04-20,US,United States of America,AMRO,,103436829,392.0,1223157,0
2025-04-27,US,United States of America,AMRO,,103436829,337.0,1223494,0
2025-05-04,US,United States of America,AMRO,,103436829,297.0,1223791,0
2025-05-11,US,United States of America,AMRO,,103436829,266.0,1224057,0
2025-05-18,US,United States of America,AMRO,,103436829,234.0,1224291,0
2025-05-25,US,United States of America,AMRO,,103436829,194.0,1224485,0
2025-06-01,US,United States of America,AMRO,,103436829,212.0,1224697,0
2025-06-08,US,United States of America,AMRO,,103436829,196.0,1224893,0
2025-06-15,US,United States of America,AMRO,,103436829,170.0,1225063,0
2025-06-22,US,United States of America,AMRO,,103436829,187.0,1225250,0
2025-06-29,US,United States of America,AMRO,,103436829,166.0,1225416,0
2025-07-06,US,United States of America,AMRO,,103436829,192.0,1225608,0
2025-07-13,US,United States of America,AMRO,,103436829,171.0,1225779,0
2025-07-20,US,United States of America,AMRO,,103436829,188.0,1225967,0
2025-07-27,US,United States of America,AMRO,,103436829,187.0,1226154,0
2025-08-03,US,United States of America,AMRO,,103436829,216.0,1226370,0
2025-08-10,US,United States of America,AMRO,,103436829,218.0,1226588,0
2025-08-17,US,United States of America,AMRO,,103436829,275.0,1226863,0
2025-08-24,US,United States of America,AMRO,,103436829,301.0,1227164,0
2025-08-31,US,United States of America,AMRO,,103436829,368.0,1227532,0
2025-09-07,US,United States of America,AMRO,,103436829,433.0,1227965,0
2025-09-14,US,United States of America,AMRO,,103436829,438.0,1228403,0
2025-09-21,US,United States of America,AMRO,,103436829,448.0,1228851,0
2025-09-28,US,United States of America,AMRO,,103436829,470.0,1229321,0
2025-10-05,US,United States of America,AMRO,,103436829,409.0,1229730,0
2025-10-12,US,United States of America,AMRO,,103436829,327.0,1230057,0
2025-10-19,US,United States of America,AMRO,,103436829,279.0,1230336,0
2025-10-26,US,United States of America,AMRO,,103436829,243.0,1230579,0
2025-11-02,US,United States of America,AMRO,,103436829,225.0,1230804,0
2025-11-09,US,United States of America,AMRO,,103436829,173.0,1230977,0
2025-11-16,US,United States of America,AMRO,,103436829,189.0,1231166,0
2025-11-23,US,United States of America,AMRO,,103436829,209.0,1231375,0
2025-11-30,US,United States of America,AMRO,,103436829,161.0,1231536,0
2025-12-07,US,United States of America,AMRO,,103436829,138.0,1231674,0
